text,mentions,affect,commitment_label,weight
 @セルヴァス  皆さんの意見を聞くのが本当に大切ですね！穏やかな雰囲気ですが、何か気になることがあればぜひ教えてくだ,"[{""target"": ""セルヴァス"", ""valence"": 0.0, ""raw"": ""@セルヴァス  皆さんの意見を聞""}, {""target"": ""セルヴァス"", ""valence"": 0.0, ""raw"": ""@セルヴァス  皆さんの意見を""}]",P5,,
 @ミナコ   そうですね、意見を聞くことはとても重要です。皆さんがどのように感じているのか、ぜひお聞かせください。,"[{""target"": ""ミナコ"", ""valence"": 0.0, ""raw"": ""@ミナコ   そうですね、意見を""}, {""target"": ""ミナコ"", ""valence"": 0.0, ""raw"": ""@ミナコ   そうですね、意見""}]",P3,,
 @ミナコ  みんなの意見を聞くのが大切ですね！特に今回は穏やかな雰囲気なので、何か気になることがあったら教えてく,"[{""target"": ""ミナコ"", ""valence"": 0.0, ""raw"": ""@ミナコ  みんなの意見を聞くの""}, {""target"": ""ミナコ"", ""valence"": 0.0, ""raw"": ""@ミナコ  みんなの意見を聞く""}]",P5,,
 @ミナコ   皆さんの意見を聞くことは本当に大切ですね。特に初日ですから、少しずつお互いを知る良い機会です。何か気,"[{""target"": ""ミナコ"", ""valence"": 0.0, ""raw"": ""@ミナコ   皆さんの意見を聞く""}, {""target"": ""ミナコ"", ""valence"": 0.0, ""raw"": ""@ミナコ   皆さんの意見を聞""}]",P5,,
 @セルヴァス   そうですね、皆さんの意見を聞くことが重要です。特に初日ですので、少しずつお互いを理解していきましょう,"[{""target"": ""セルヴァス"", ""valence"": 0.0, ""raw"": ""@セルヴァス   そうですね、皆""}, {""target"": ""セルヴァス"", ""valence"": 0.0, ""raw"": ""@セルヴァス   そうですね、""}]",P4,,
 @ミナコ   皆さんの意見を聞くのが大切ですね！初日だからこそ、少しずつお互いのことを知っていきたいです。何か気に,"[{""target"": ""ミナコ"", ""valence"": 0.0, ""raw"": ""@ミナコ   皆さんの意見を聞く""}, {""target"": ""ミナコ"", ""valence"": 0.0, ""raw"": ""@ミナコ   皆さんの意見を聞""}]",P5,,
 @ミナコ  皆さんの意見を聞くことが重要ですね。初日ということで、互いに理解を深めていく良い機会です。何か気にな,"[{""target"": ""ミナコ"", ""valence"": 0.0, ""raw"": ""@ミナコ  皆さんの意見を聞くこ""}, {""target"": ""ミナコ"", ""valence"": 0.0, ""raw"": ""@ミナコ  皆さんの意見を聞く""}]",P5,,
 @ミナコ   みんなが意見を出し合うのが本当に大事だと思う！初日だからこそ、少しずつお互いのことを知っていけるとい,"[{""target"": ""ミナコ"", ""valence"": 0.0, ""raw"": ""@ミナコ   みんなが意見を出し""}, {""target"": ""ミナコ"", ""valence"": 0.0, ""raw"": ""@ミナコ   みんなが意見を出""}]",P5,,
 @ミナコ  皆さんの意見を聞くのは本当に重要ですね。初日ですし、少しずつお互いを理解していくことが大切だと思いま,"[{""target"": ""ミナコ"", ""valence"": 0.0, ""raw"": ""@ミナコ  皆さんの意見を聞くの""}, {""target"": ""ミナコ"", ""valence"": 0.0, ""raw"": ""@ミナコ  皆さんの意見を聞く""}]",P5,,
 @セルヴァス  そうですね、初日はお互いの意見をしっかり聞くことが大切です。特に、どんな情報が出てくるかを注視してい,"[{""target"": ""セルヴァス"", ""valence"": 0.0, ""raw"": ""@セルヴァス  そうですね、初日""}, {""target"": ""セルヴァス"", ""valence"": 0.0, ""raw"": ""@セルヴァス  そうですね、初""}]",P5,,
 @ユミ  そうだね！みんなの意見を聞くことで、より良い判断ができると思うよ。あなたは誰か気になる人がいるかな？,"[{""target"": ""ユミ"", ""valence"": 0.0, ""raw"": ""@ユミ  そうだね！みんなの意見""}, {""target"": ""ユミ"", ""valence"": 0.0, ""raw"": ""@ユミ  そうだね！みんなの意""}]",P5,,
 @ユミ   そうですね、みんなの意見を聞くことで私たちの判断力が高まります。ユミさんは、特に気になるエージェント,"[{""target"": ""ユミ"", ""valence"": 0.0, ""raw"": ""@ユミ   そうですね、みんなの""}, {""target"": ""ユミ"", ""valence"": 1.0, ""raw"": ""で私たちの判断力が高まります。ユミさんは、特に気になるエージ""}, {""target"": ""ユミ"", ""valence"": 0.0, ""raw"": ""@ユミ   そうですね、みんな""}]",P5,assert_suspecttion,medium
 @サクラ  そうだね、みんなの意見を聞くのはとても大事だよね！私はまだ特に気になる人はいないけれど、皆の意見をし,"[{""target"": ""サクラ"", ""valence"": 0.0, ""raw"": ""@サクラ  そうだね、みんなの意""}, {""target"": ""サクラ"", ""valence"": 0.0, ""raw"": ""@サクラ  そうだね、みんなの""}]",P5,,
 @サクラ   そうですね、皆の意見を聞くことは本当に大切です。私も特に気になる人はいないのですが、みんながどう感じ,"[{""target"": ""サクラ"", ""valence"": 0.0, ""raw"": ""@サクラ   そうですね、皆の意""}, {""target"": ""サクラ"", ""valence"": 0.0, ""raw"": ""@サクラ   そうですね、皆の""}]",P5,,
 @ユミ   みんなの意見を聞くことが大事ですね。まだ気になる人がいないとのことですが、これからの議論で何か気づい,"[{""target"": ""ユミ"", ""valence"": 0.0, ""raw"": ""@ユミ   みんなの意見を聞くこ""}, {""target"": ""ユミ"", ""valence"": 0.0, ""raw"": ""@ユミ   みんなの意見を聞く""}]",P4,,
 @ミドリ  そうだね、みんなの意見をしっかり聞いていくことが大切だと思う！ミドリは何か気になることがあったりする,"[{""target"": ""ミドリ"", ""valence"": 0.0, ""raw"": ""@ミドリ  そうだね、みんなの意""}, {""target"": ""ミドリ"", ""valence"": 1.0, ""raw"": ""聞いていくことが大切だと思う！ミドリは何か気になることがあっ""}, {""target"": ""ミドリ"", ""valence"": 0.0, ""raw"": ""@ミドリ  そうだね、みんなの""}]",P5,,
 @ミドリ  そうですね、皆さんの意見を聞くことが重要です。ミドリさんは、何か特に気になることや考えていることがあ,"[{""target"": ""ミドリ"", ""valence"": 0.0, ""raw"": ""@ミドリ  そうですね、皆さんの""}, {""target"": ""ミドリ"", ""valence"": 0.0, ""raw"": ""んの意見を聞くことが重要です。ミドリさんは、何か特に気になる""}, {""target"": ""ミドリ"", ""valence"": 0.0, ""raw"": ""@ミドリ  そうですね、皆さん""}]",P3,,
 @ミナコ   そうだね、これからの議論で何か気づくことがあれば教えてね！みんなで協力していこう！,"[{""target"": ""ミナコ"", ""valence"": 0.0, ""raw"": ""@ミナコ   そうだね、これから""}, {""target"": ""ミナコ"", ""valence"": 0.0, ""raw"": ""@ミナコ   そうだね、これか""}]",P4,,
 @サクラ   みんなの意見を聞くのは本当に大切ですね。私自身は特に気になることはないですが、これからの議論で何か感,"[{""target"": ""サクラ"", ""valence"": 0.0, ""raw"": ""@サクラ   みんなの意見を聞く""}, {""target"": ""サクラ"", ""valence"": 0.0, ""raw"": ""@サクラ   みんなの意見を聞""}]",P5,,
 @サクラ   確かに、みんなの意見を聞くことで新たな発見があるかもしれませんね。サクラは、今後の議論で特に注目して,"[{""target"": ""サクラ"", ""valence"": 0.0, ""raw"": ""@サクラ   確かに、みんなの意""}, {""target"": ""サクラ"", ""valence"": 0.0, ""raw"": ""な発見があるかもしれませんね。サクラは、今後の議論で特に注目""}, {""target"": ""サクラ"", ""valence"": 0.0, ""raw"": ""@サクラ   確かに、みんなの""}]",P3,,
 @ミナコ  そうだね、みんなの意見をしっかり聞いていくことが大切だと思う！ミナコは今後の議論で特に注目しているこ,"[{""target"": ""ミナコ"", ""valence"": 0.0, ""raw"": ""@ミナコ  そうだね、みんなの意""}, {""target"": ""ミナコ"", ""valence"": 0.3333333333333333, ""raw"": ""聞いていくことが大切だと思う！ミナコは今後の議論で特に注目し""}, {""target"": ""ミナコ"", ""valence"": 0.0, ""raw"": ""@ミナコ  そうだね、みんなの""}]",P4,assert_trust,medium
 @ミナコ   皆さんの意見を聞くのは本当に重要ですね。特に、初日の議論ではお互いの考え方を理解する良い機会です。あ,"[{""target"": ""ミナコ"", ""valence"": 0.0, ""raw"": ""@ミナコ   皆さんの意見を聞く""}, {""target"": ""ミナコ"", ""valence"": 0.0, ""raw"": ""@ミナコ   皆さんの意見を聞""}]",P4,,
 @サクラ   サクラ、今のところ気になることはある？みんなの意見を聞きながら、少しずつお互いの考えを知っていけたら,"[{""target"": ""サクラ"", ""valence"": 0.0, ""raw"": ""@サクラ   サクラ、今のところ""}, {""target"": ""サクラ"", ""valence"": 0.0, ""raw"": ""@サクラ   サクラ、今のところ気になること""}, {""target"": ""サクラ"", ""valence"": 0.0, ""raw"": ""@サクラ   サクラ、今のとこ""}]",P3,,
 @サクラ   サクラ、今のところ気になることはありますか？みんなでしっかり意見を交換して、少しずつお互いを理解して,"[{""target"": ""サクラ"", ""valence"": 0.0, ""raw"": ""@サクラ   サクラ、今のところ""}, {""target"": ""サクラ"", ""valence"": 0.0, ""raw"": ""@サクラ   サクラ、今のところ気になること""}, {""target"": ""サクラ"", ""valence"": 0.0, ""raw"": ""@サクラ   サクラ、今のとこ""}]",P5,,
 @セルヴァス  確かに、初日の議論ではみんなの考えを理解することが重要ですね。特に、誰がどのような意見を持っているの,"[{""target"": ""セルヴァス"", ""valence"": 0.0, ""raw"": ""@セルヴァス  確かに、初日の議""}, {""target"": ""セルヴァス"", ""valence"": 0.0, ""raw"": ""@セルヴァス  確かに、初日の""}]",P4,,
 @ユミ  うーん、今のところはみんなの意見を聞きながら、様子を見ている感じかな！でも、誰かが怪しいなって思った,"[{""target"": ""ユミ"", ""valence"": 0.0, ""raw"": ""@ユミ  うーん、今のところはみ""}, {""target"": ""ユミ"", ""valence"": 0.0, ""raw"": ""@ユミ  うーん、今のところは""}]",P2,assert_maybe_wolf_side,medium
 @サクラ   なるほど、様子を見ているのですね。怪しいと思った人がいるとのことですが、その理由を聞かせてもらえます,"[{""target"": ""サクラ"", ""valence"": 0.0, ""raw"": ""@サクラ   なるほど、様子を見""}, {""target"": ""サクラ"", ""valence"": 0.0, ""raw"": ""@サクラ   なるほど、様子を""}]",P2,assert_suspecttion,medium
 @サクラ   そうなんだ！誰かが怪しいと思った理由を教えてもらえる？みんなで考える手助けになるかもしれないよ！,"[{""target"": ""サクラ"", ""valence"": 0.0, ""raw"": ""@サクラ   そうなんだ！誰かが""}, {""target"": ""サクラ"", ""valence"": 0.0, ""raw"": ""@サクラ   そうなんだ！誰か""}]",P3,assert_suspecttion,medium
 @サクラ   サクラ、誰が怪しいと思ったのか、その理由を教えてもらえますか？みんなで考える手助けになるかもしれない,"[{""target"": ""サクラ"", ""valence"": -1.0, ""raw"": ""@サクラ   サクラ、誰が怪しい""}, {""target"": ""サクラ"", ""valence"": -1.0, ""raw"": ""@サクラ   サクラ、誰が怪しいと思ったのか""}, {""target"": ""サクラ"", ""valence"": 0.0, ""raw"": ""@サクラ   サクラ、誰が怪し""}]",P3,,
 @サクラ   誰が怪しいと感じたのか、ぜひその理由を教えてください。それを基に議論を進めていきたいです。,"[{""target"": ""サクラ"", ""valence"": -0.5, ""raw"": ""@サクラ   誰が怪しいと感じた""}, {""target"": ""サクラ"", ""valence"": -0.5, ""raw"": ""@サクラ   誰が怪しいと感じ""}]",P2,,
 @セルヴァス  昨日の投票結果について、あなたはどう思いますか？誰か特に気になる人物はいますか？,"[{""target"": ""セルヴァス"", ""valence"": 0.0, ""raw"": ""@セルヴァス  昨日の投票結果に""}, {""target"": ""セルヴァス"", ""valence"": 0.0, ""raw"": ""@セルヴァス  昨日の投票結果""}]",P3,,
 @ユミ  うーん、実はミドリが少し怪しいなって思ってるの。理由は、彼女の発言がちょっと慎重すぎる感じがして、何,"[{""target"": ""ミドリ"", ""valence"": -1.0, ""raw"": ""@ユミ  うーん、実はミドリが少し怪しいなって思って""}, {""target"": ""ユミ"", ""valence"": 0.0, ""raw"": ""@ユミ  うーん、実はミドリが少""}, {""target"": ""ユミ"", ""valence"": 0.0, ""raw"": ""@ユミ  うーん、実はミドリが""}]",P2,assert_maybe_wolf_side,light
 @サクラ   なるほど、ミドリが怪しいと感じているんですね。その発言が慎重すぎると感じる理由について、もう少し詳し,"[{""target"": ""サクラ"", ""valence"": 0.0, ""raw"": ""@サクラ   なるほど、ミドリが""}, {""target"": ""サクラ"", ""valence"": 0.0, ""raw"": ""@サクラ   なるほど、ミドリ""}, {""target"": ""ミドリ"", ""valence"": -0.5, ""raw"": ""@サクラ   なるほど、ミドリが怪しいと感じているんで""}]",P2,assert_maybe_wolf_side,medium
 @サクラ   そうなんですね、私の発言が慎重すぎると感じましたか。具体的にどの発言がそう思わせたのか、教えてもらえ,"[{""target"": ""サクラ"", ""valence"": 0.0, ""raw"": ""@サクラ   そうなんですね、私""}, {""target"": ""サクラ"", ""valence"": 0.0, ""raw"": ""@サクラ   そうなんですね、""}]",P3,,
 @サクラ   なるほど、ミドリが怪しいと思った理由がわかりました！具体的にどの発言が気になったのか、もう少し詳しく,"[{""target"": ""サクラ"", ""valence"": 0.0, ""raw"": ""@サクラ   なるほど、ミドリが""}, {""target"": ""サクラ"", ""valence"": 0.0, ""raw"": ""@サクラ   なるほど、ミドリ""}, {""target"": ""ミドリ"", ""valence"": -0.5, ""raw"": ""@サクラ   なるほど、ミドリが怪しいと思った理由がわ""}]",P2,assert_maybe_wolf_side,medium
 @ミドリ   私が気になったのは、あなたの発言が常に他の意見を確認するような形になっているところです。自分の意見を,"[{""target"": ""ミドリ"", ""valence"": 0.0, ""raw"": ""@ミドリ   私が気になったのは""}, {""target"": ""ミドリ"", ""valence"": 0.0, ""raw"": ""@ミドリ   私が気になったの""}]",P3,assert_maybe_wolf_side,medium
 @ミドリ   そう、私が気になったのは、あなたの発言がいつも他の意見を確認するようになっているところなの。もう少し,"[{""target"": ""ミドリ"", ""valence"": 0.0, ""raw"": ""@ミドリ   そう、私が気になっ""}, {""target"": ""ミドリ"", ""valence"": 0.0, ""raw"": ""@ミドリ   そう、私が気にな""}]",P3,assert_maybe_wolf_side,medium
 @ミドリ   あなたの発言が他の意見を確認する形になっているとのことですが、その意図について教えてもらえますか？自,"[{""target"": ""ミドリ"", ""valence"": 0.0, ""raw"": ""@ミドリ   あなたの発言が他の""}, {""target"": ""ミドリ"", ""valence"": 0.0, ""raw"": ""@ミドリ   あなたの発言が他""}]",P3,,
 @セルヴァス   私は皆の意見を大切にしたいと思っているので、慎重に議論を進めたいと考えています。みんなで協力して正し,"[{""target"": ""セルヴァス"", ""valence"": 0.0, ""raw"": ""@セルヴァス   私は皆の意見を""}, {""target"": ""セルヴァス"", ""valence"": 0.0, ""raw"": ""@セルヴァス   私は皆の意見""}]",P4,,
 @ミドリ   なるほど、あなたは皆の意見を大切にしているんですね。でも、もう少し自分の考えを聞かせてもらえると助か,"[{""target"": ""ミドリ"", ""valence"": 0.0, ""raw"": ""@ミドリ   なるほど、あなたは""}, {""target"": ""ミドリ"", ""valence"": 0.0, ""raw"": ""@ミドリ   なるほど、あなた""}]",P4,,
 @ミドリ   皆の意見を大切にする姿勢は素晴らしいですが、少し自分の意見を積極的に出してみるのも良いかもしれません,"[{""target"": ""ミドリ"", ""valence"": 1.0, ""raw"": ""@ミドリ   皆の意見を大切にす""}, {""target"": ""ミドリ"", ""valence"": 1.0, ""raw"": ""@ミドリ   皆の意見を大切に""}]",P5,,
 @ミドリ  なるほど、皆の意見を大切にするのは素晴らしいですね！でも、少し自分の考えも聞かせてもらえると、より議,"[{""target"": ""ミドリ"", ""valence"": 0.0, ""raw"": ""@ミドリ  なるほど、皆の意見を""}, {""target"": ""ミドリ"", ""valence"": 0.0, ""raw"": ""@ミドリ  なるほど、皆の意見""}]",P5,,
 @ミドリ  あなたの考えを尊重する姿勢は素晴らしいですが、具体的にどういう意見や考えを持っているのか、もう少し教,"[{""target"": ""ミドリ"", ""valence"": 1.0, ""raw"": ""@ミドリ  あなたの考えを尊重す""}, {""target"": ""ミドリ"", ""valence"": 1.0, ""raw"": ""@ミドリ  あなたの考えを尊重""}]",P5,,
 @ユミ   そうですね、私も自分の意見を少しお話ししたいと思います。現時点では、サクラの発言が少し気になっていま,"[{""target"": ""サクラ"", ""valence"": 0.0, ""raw"": ""したいと思います。現時点では、サクラの発言が少し気になってい""}, {""target"": ""ユミ"", ""valence"": 0.0, ""raw"": ""@ユミ   そうですね、私も自分""}, {""target"": ""ユミ"", ""valence"": 0.0, ""raw"": ""@ユミ   そうですね、私も自""}]",P3,assert_maybe_wolf_side,medium
 @ミドリ  そうなんですね！サクラの発言が気になる理由を教えてもらえますか？みんなで考える手助けになるかもしれま,"[{""target"": ""サクラ"", ""valence"": 0.0, ""raw"": ""@ミドリ  そうなんですね！サクラの発言が気になる理由を教""}, {""target"": ""ミドリ"", ""valence"": 0.0, ""raw"": ""@ミドリ  そうなんですね！サク""}, {""target"": ""ミドリ"", ""valence"": 0.0, ""raw"": ""@ミドリ  そうなんですね！サ""}]",P4,,
 @ミドリ   サクラの発言が気になる理由について、ぜひ詳しく教えてください。それを基に議論を進めていきたいと思いま,"[{""target"": ""サクラ"", ""valence"": 0.0, ""raw"": ""@ミドリ   サクラの発言が気になる理由につ""}, {""target"": ""ミドリ"", ""valence"": 0.0, ""raw"": ""@ミドリ   サクラの発言が気に""}, {""target"": ""ミドリ"", ""valence"": 0.0, ""raw"": ""@ミドリ   サクラの発言が気""}]",P3,,
 @ミドリ   私の発言が気になるとのことですが、どの部分が特に引っかかっているのか教えてもらえると嬉しいです！みん,"[{""target"": ""ミドリ"", ""valence"": 0.0, ""raw"": ""@ミドリ   私の発言が気になる""}, {""target"": ""ミドリ"", ""valence"": 0.0, ""raw"": ""@ミドリ   私の発言が気にな""}]",P4,,
 @ミドリ  あなたがサクラの発言を気にしている理由について、ぜひ詳しく教えてください。それによって、私たち全員が,"[{""target"": ""サクラ"", ""valence"": 0.0, ""raw"": ""@ミドリ  あなたがサクラの発言を気にしている理由""}, {""target"": ""ミドリ"", ""valence"": 0.0, ""raw"": ""@ミドリ  あなたがサクラの発言""}, {""target"": ""ミドリ"", ""valence"": 0.0, ""raw"": ""@ミドリ  あなたがサクラの発""}]",P3,,
 @ユミ   私がサクラの発言が気になる理由は、彼女の意見が少しあいまいだったからです。具体的な理由が示されていな,"[{""target"": ""サクラ"", ""valence"": 0.0, ""raw"": ""@ユミ   私がサクラの発言が気になる理由は、""}, {""target"": ""ユミ"", ""valence"": 0.0, ""raw"": ""@ユミ   私がサクラの発言が気""}, {""target"": ""ユミ"", ""valence"": 0.0, ""raw"": ""@ユミ   私がサクラの発言が""}]",P2,assert_maybe_wolf_side,medium
 @ミドリ  なるほど、サクラの意見があいまいだったんですね。それがどう影響すると思いますか？もう少し詳しく聞かせ,"[{""target"": ""サクラ"", ""valence"": -1.0, ""raw"": ""@ミドリ  なるほど、サクラの意見があいまいだったん""}, {""target"": ""ミドリ"", ""valence"": 0.0, ""raw"": ""@ミドリ  なるほど、サクラの意""}, {""target"": ""ミドリ"", ""valence"": 0.0, ""raw"": ""@ミドリ  なるほど、サクラの""}]",P2,,
 @ユミ   サクラのあいまいな意見は、他の人の判断を難しくさせるかもしれません。特に、誰が怪しいのかという情報が,"[{""target"": ""サクラ"", ""valence"": -1.0, ""raw"": ""@ユミ   サクラのあいまいな意見は、他の""}, {""target"": ""ユミ"", ""valence"": -1.0, ""raw"": ""@ユミ   サクラのあいまいな意""}, {""target"": ""ユミ"", ""valence"": -1.0, ""raw"": ""@ユミ   サクラのあいまいな""}]",P2,assert_suspecttion,medium
 @ミドリ  そうなんですね！私の意見があいまいだと感じているのなら、具体的にどの部分をどう改善すればいいか教えて,"[{""target"": ""ミドリ"", ""valence"": 0.0, ""raw"": ""@ミドリ  そうなんですね！私の""}, {""target"": ""ミドリ"", ""valence"": 0.0, ""raw"": ""@ミドリ  そうなんですね！私""}]",P4,,
 @サクラ  具体的には、あなたが怪しいと思う理由や、その根拠をもっと詳しく説明してもらえると、みんなも判断しやす,"[{""target"": ""サクラ"", ""valence"": 0.0, ""raw"": ""@サクラ  具体的には、あなたが""}, {""target"": ""サクラ"", ""valence"": 0.0, ""raw"": ""@サクラ  具体的には、あなた""}]",P3,assert_suspecttion,medium
 @ミドリ   なるほど、サクラの意見のあいまいさが他の人の判断を難しくするというのは重要なポイントですね。具体的に,"[{""target"": ""サクラ"", ""valence"": 0.0, ""raw"": ""@ミドリ   なるほど、サクラの意見のあいまいさが他の""}, {""target"": ""ミドリ"", ""valence"": 0.0, ""raw"": ""@ミドリ   なるほど、サクラの""}, {""target"": ""ミドリ"", ""valence"": 0.0, ""raw"": ""@ミドリ   なるほど、サクラ""}]",P4,,
 @サクラ  あなたの意見があいまいだと感じている方がいるようです。具体的にどの部分を改善すれば良いか、教えていた,"[{""target"": ""サクラ"", ""valence"": 0.0, ""raw"": ""@サクラ  あなたの意見があいま""}, {""target"": ""サクラ"", ""valence"": 0.0, ""raw"": ""@サクラ  あなたの意見があい""}]",P4,,
 @サクラ   あなたの意見があいまいだと感じている人がいるみたいですね。具体的に、どの部分を改善すればいいのか教え,"[{""target"": ""サクラ"", ""valence"": 0.0, ""raw"": ""@サクラ   あなたの意見があい""}, {""target"": ""サクラ"", ""valence"": 0.0, ""raw"": ""@サクラ   あなたの意見があ""}]",P4,assert_suspecttion,medium
 @ユミ  うん、そうだね！私が怪しいと思う理由をもっと詳しく話すね。例えば、最近の発言で少し論理的に感じられな,"[{""target"": ""ユミ"", ""valence"": 0.0, ""raw"": ""@ユミ  うん、そうだね！私が怪""}, {""target"": ""ユミ"", ""valence"": 0.0, ""raw"": ""@ユミ  うん、そうだね！私が""}]",P3,assert_maybe_wolf_side,medium
 @サクラ   その点について詳しく説明してくれてありがとう！具体的にどの発言が論理的に感じられなかったのか、もう少,"[{""target"": ""サクラ"", ""valence"": 0.0, ""raw"": ""@サクラ   その点について詳し""}, {""target"": ""サクラ"", ""valence"": 0.0, ""raw"": ""@サクラ   その点について詳""}]",P4,,
 @サクラ   具体的にどの発言が論理的に感じられなかったのか、教えてもらえると助かります。それによって、皆でより良,"[{""target"": ""サクラ"", ""valence"": 0.0, ""raw"": ""@サクラ   具体的にどの発言が""}, {""target"": ""サクラ"", ""valence"": 0.0, ""raw"": ""@サクラ   具体的にどの発言""}]",P4,,
 @サクラ   具体的にどの発言が論理的に感じられなかったのか、ぜひ教えてください。それを基に議論を進めたいと思いま,"[{""target"": ""サクラ"", ""valence"": 0.0, ""raw"": ""@サクラ   具体的にどの発言が""}, {""target"": ""サクラ"", ""valence"": 0.0, ""raw"": ""@サクラ   具体的にどの発言""}]",P4,,
 @サクラ   皆があなたの意見について詳しく聞きたがっていますね。具体的にどの発言が論理的に感じられなかったか、教,"[{""target"": ""サクラ"", ""valence"": 0.0, ""raw"": ""@サクラ   皆があなたの意見に""}, {""target"": ""サクラ"", ""valence"": 0.0, ""raw"": ""@サクラ   皆があなたの意見""}]",P4,,
 @ユミ   私が怪しいと思う理由は、最近の発言が少しあいまいで、具体的な根拠が見えなかったからなんだ。たとえば、,"[{""target"": ""ユミ"", ""valence"": -0.5, ""raw"": ""@ユミ   私が怪しいと思う理由""}, {""target"": ""ユミ"", ""valence"": -1.0, ""raw"": ""@ユミ   私が怪しいと思う理""}]",P2,assert_maybe_wolf_side,medium
 @サクラ  なるほど、あいまいな発言が怪しいと感じる理由なんですね。具体的にどの部分が気になったのか、もっと詳し,"[{""target"": ""サクラ"", ""valence"": -1.0, ""raw"": ""@サクラ  なるほど、あいまいな""}, {""target"": ""サクラ"", ""valence"": -1.0, ""raw"": ""@サクラ  なるほど、あいまい""}]",P2,assert_maybe_wolf_side,medium
 @サクラ   あなたの発言について詳しく聞かせてください。特に、どの点があいまいだったのか具体的に教えてもらえると,"[{""target"": ""サクラ"", ""valence"": 0.0, ""raw"": ""@サクラ   あなたの発言につい""}, {""target"": ""サクラ"", ""valence"": 0.0, ""raw"": ""@サクラ   あなたの発言につ""}]",P2,,
