text,mentions,affect,commitment_label,weight
皆さん、具体的な疑惑についての意見交換が活発ですね。私も疑問があるので、ミドリさん、トシオさんのやり,"[{""target"": ""トシオ"", ""valence"": 0.0, ""raw"": ""も疑問があるので、ミドリさん、トシオさんのやり""}, {""target"": ""ミドリ"", ""valence"": 0.0, ""raw"": ""発ですね。私も疑問があるので、ミドリさん、トシオさんのやり""}]",P3,,
私がトシオさんに疑惑を持った理由は、彼の発言の中にいくつかの矛盾を感じたからです。特に、行動観察の重,"[{""target"": ""トシオ"", ""valence"": 0.25, ""raw"": ""私がトシオさんに疑惑を持った理由は""}]",P3,assert_maybe_wolf_side,light
皆さん、ミドリさんの意見について考えてみましょう。トシオさんの発言に矛盾が感じられるとのことですが、,"[{""target"": ""トシオ"", ""valence"": -0.5, ""raw"": ""意見について考えてみましょう。トシオさんの発言に矛盾が感じら""}, {""target"": ""ミドリ"", ""valence"": -0.6666666666666666, ""raw"": ""皆さん、ミドリさんの意見について考えて""}]",P2,assert_suspecttion,medium
私の発言について疑惑がかけられていることを理解しました。ミドリさんの指摘について、具体的にどの部分が,"[{""target"": ""ミドリ"", ""valence"": 0.0, ""raw"": ""られていることを理解しました。ミドリさんの指摘について、具体""}]",P3,assert_maybe_villager_side,light
トシオさん、ミドリさんが指摘している矛盾について、具体的にどの部分が怪しいのか教えてほしいです。みん,"[{""target"": ""トシオ"", ""valence"": 0.0, ""raw"": ""トシオさん、ミドリさんが指摘し""}, {""target"": ""ミドリ"", ""valence"": -0.5, ""raw"": ""トシオさん、ミドリさんが指摘している矛盾に""}]",P2,assert_suspecttion,medium
皆さんの意見が交錯していますね。トシオさん、ミドリさんの指摘について具体的に説明していただけると、み,"[{""target"": ""トシオ"", ""valence"": -0.5, ""raw"": ""さんの意見が交錯していますね。トシオさん、ミドリさんの指摘に""}, {""target"": ""ミドリ"", ""valence"": -0.25, ""raw"": ""交錯していますね。トシオさん、ミドリさんの指摘について具体的""}]",P2,,
私がトシオさんに疑惑を持ったのは、彼の発言の中に行動観察に関する矛盾があったからです。特に、彼が言っ,"[{""target"": ""トシオ"", ""valence"": 0.0, ""raw"": ""私がトシオさんに疑惑を持ったのは、""}]",P2,assert_suspecttion,medium
トシオさん、あなたの発言についての疑惑がまだ解消されていないようです。具体的にどの部分が矛盾している,"[{""target"": ""トシオ"", ""valence"": 0.0, ""raw"": ""トシオさん、あなたの発言につい""}]",P2,assert_suspecttion,medium
トシオさん、あなたの発言についての疑惑がまだ解消されていないようです。具体的にどの部分が矛盾している,"[{""target"": ""トシオ"", ""valence"": 0.0, ""raw"": ""トシオさん、あなたの発言につい""}]",P2,assert_suspecttion,medium
私の発言が疑惑を招いていることは理解しています。ミドリさんが指摘したような矛盾について、具体的に説明,"[{""target"": ""ミドリ"", ""valence"": -0.2, ""raw"": ""いていることは理解しています。ミドリさんが指摘したような矛盾""}]",P2,assert_suspecttion,medium
トシオさん、あなたの発言について疑惑があるということは、皆さんが関心を持っている証拠です。私が指摘し,"[{""target"": ""トシオ"", ""valence"": 0.0, ""raw"": ""トシオさん、あなたの発言につい""}]",P3,assert_suspecttion,medium
トシオさん、矛盾について具体的に説明していただけますか？皆が疑問を持っているので、はっきりさせる必要,"[{""target"": ""トシオ"", ""valence"": -0.25, ""raw"": ""トシオさん、矛盾について具体的""}]",P3,assert_suspecttion,medium
トシオさん、あなたの発言についての疑惑がまだ解消されていないようです。具体的にどの部分が矛盾している,"[{""target"": ""トシオ"", ""valence"": 0.0, ""raw"": ""トシオさん、あなたの発言につい""}]",P2,assert_suspecttion,medium
私の発言について疑惑がかけられていることを再度認識しています。具体的には、ミドリさんの指摘した行動観,"[{""target"": ""ミドリ"", ""valence"": -0.42857142857142855, ""raw"": ""度認識しています。具体的には、ミドリさんの指摘した行動観""}]",P2,assert_suspecttion,medium
トシオさん、あなたの発言について疑惑があることが皆さんの間で再確認されています。具体的にどのように行,"[{""target"": ""トシオ"", ""valence"": 0.0, ""raw"": ""トシオさん、あなたの発言につい""}]",P2,assert_suspecttion,medium
トシオさん、あなたの発言についてまだ疑惑が残っていますね。具体的にどの点が矛盾しているのか、もう一度,"[{""target"": ""トシオ"", ""valence"": 0.0, ""raw"": ""トシオさん、あなたの発言につい""}]",P1,assert_suspecttion,medium
トシオさん、あなたの発言についての疑惑が依然として残っているようですね。具体的にどの部分が矛盾してい,"[{""target"": ""トシオ"", ""valence"": 0.0, ""raw"": ""トシオさん、あなたの発言につい""}]",P2,assert_suspecttion,medium
私の発言について疑惑が再度浮上していることを理解しています。皆さんが指摘している点について、具体的に,null,P2,,
トシオさん、あなたの発言についての疑惑が再度浮上していることを理解しています。皆さんが指摘している点,"[{""target"": ""トシオ"", ""valence"": 0.0, ""raw"": ""トシオさん、あなたの発言につい""}]",P3,assert_suspecttion,medium
トシオさん、あなたの発言についてまだ疑惑が残っていますね。具体的にどの点が矛盾しているのか、もう一度,"[{""target"": ""トシオ"", ""valence"": 0.0, ""raw"": ""トシオさん、あなたの発言につい""}]",P1,assert_suspecttion,medium
