token	lang	score
むせ返る	ja	-1.0
めくら	ja	-1.0
もたつく	ja	-1.0
もだえる	ja	-1.0
もつれる	ja	-1.0
もてあます	ja	-1.0
やつれる	ja	-1.0
やむない	ja	-1.0
やむをえない	ja	-1.0
ゆがむ	ja	-1.0
ゆきづまる	ja	-1.0
よごす	ja	-1.0
よごれる	ja	-1.0
わすれる	ja	-1.0
ガックリ	ja	-1.0
ストレス	ja	-1.0
ツライ	ja	-1.0
ビビる	ja	-1.0
ポシャる	ja	-1.0
阿鼻叫喚	ja	-1.0
阿鼻叫喚	ja	-1.0
阿鼻叫喚	ja	-1.0
阿鼻叫喚	ja	-1.0
意気	ja	-1.0
引っ掛かる	ja	-1.0
引っ繰り返る	ja	-1.0
厭う	ja	-1.0
怨む	ja	-1.0
汚さ	ja	-1.0
汚す	ja	-1.0
汚れる	ja	-1.0
臆する	ja	-1.0
臆病	ja	-1.0
苛	ja	-1.0
苛	ja	-1.0
苛苛	ja	-1.0
苛立つ	ja	-1.0
我慢	ja	-1.0
我慢	ja	-1.0
我慢	ja	-1.0
餓える	ja	-1.0
壊さ	ja	-1.0
壊れる	ja	-1.0
怪しむ	ja	-1.0
悔しい	ja	-1.0
悔やむ	ja	-1.0
恰好	ja	-1.0
渇く	ja	-1.0
堪えがたい	ja	-1.0
堪える	ja	-1.0
堪え難い	ja	-1.0
堪忍袋	ja	-1.0
干からびる	ja	-1.0
患い	ja	-1.0
患う	ja	-1.0
憾む	ja	-1.0
間違う	ja	-1.0
陥る	ja	-1.0
危ぶむ	ja	-1.0
忌み	ja	-1.0
忌み嫌う	ja	-1.0
機嫌	ja	-1.0
機嫌	ja	-1.0
気	ja	-1.0
気	ja	-1.0
気	ja	-1.0
気	ja	-1.0
気	ja	-1.0
気	ja	-1.0
気	ja	-1.0
気	ja	-1.0
気	ja	-1.0
気	ja	-1.0
気がかり	ja	-1.0
気がかり	ja	-1.0
気まずい	ja	-1.0
気持ち	ja	-1.0
気持ち	ja	-1.0
飢える	ja	-1.0
偽る	ja	-1.0
疑う	ja	-1.0
詰まる	ja	-1.0
逆らえ	ja	-1.0
虚しい	ja	-1.0
許す	ja	-1.0
許せ	ja	-1.0
恐る	ja	-1.0
恐れる	ja	-1.0
狂う	ja	-1.0
狂する	ja	-1.0
胸	ja	-1.0
胸くそ	ja	-1.0
胸苦しい	ja	-1.0
胸糞	ja	-1.0
胸糞	ja	-1.0
興醒める	ja	-1.0
驚愕	ja	-1.0
業	ja	-1.0
苦しい	ja	-1.0
苦しむ	ja	-1.0
苦しめ	ja	-1.0
苦汁	ja	-1.0
苦慮	ja	-1.0
欠く	ja	-1.0
欠ける	ja	-1.0
血の気	ja	-1.0
嫌う	ja	-1.0
嫌がる	ja	-1.0
肩	ja	-1.0
肩身	ja	-1.0
見そこなう	ja	-1.0
見失う	ja	-1.0
見損なう	ja	-1.0
見落とす	ja	-1.0
遣り	ja	-1.0
戸惑う	ja	-1.0
枯れる	ja	-1.0
後ろ	ja	-1.0
後ろめたい	ja	-1.0
後口	ja	-1.0
後味	ja	-1.0
誤る	ja	-1.0
慌てる	ja	-1.0
荒れる	ja	-1.0
行	ja	-1.0
行き過ぎる	ja	-1.0
行き詰まる	ja	-1.0
行き詰る	ja	-1.0
行詰る	ja	-1.0
降参	ja	-1.0
降伏	ja	-1.0
降服	ja	-1.0
腰	ja	-1.0
骨	ja	-1.0
困る	ja	-1.0
恨む	ja	-1.0
根	ja	-1.0
混む	ja	-1.0
砕ける	ja	-1.0
錆びる	ja	-1.0
散らかる	ja	-1.0
散る	ja	-1.0
刺さる	ja	-1.0
死さ	ja	-1.0
死ぬ	ja	-1.0
持て余す	ja	-1.0
耳	ja	-1.0
自信	ja	-1.0
自制	ja	-1.0
自由	ja	-1.0
辞める	ja	-1.0
失う	ja	-1.0
失っ	ja	-1.0
疾しい	ja	-1.0
寂しい	ja	-1.0
弱る	ja	-1.0
取り逃がす	ja	-1.0
手	ja	-1.0
手	ja	-1.0
手間取る	ja	-1.0
腫れる	ja	-1.0
首	ja	-1.0
首	ja	-1.0
臭う	ja	-1.0
縮む	ja	-1.0
出来	ja	-1.0
出来	ja	-1.0
傷つける	ja	-1.0
傷む	ja	-1.0
傷付ける	ja	-1.0
嘗める	ja	-1.0
小首	ja	-1.0
小腹	ja	-1.0
焦る	ja	-1.0
障る	ja	-1.0
乗り遅れる	ja	-1.0
情ない	ja	-1.0
色	ja	-1.0
侵す	ja	-1.0
心外	ja	-1.0
心外	ja	-1.0
心細い	ja	-1.0
申し訳	ja	-1.0
辛い	ja	-1.0
辛め	ja	-1.0
辛め	ja	-1.0
辛め	ja	-1.0
辛め	ja	-1.0
震える	ja	-1.0
衰える	ja	-1.0
生き	ja	-1.0
逝く	ja	-1.0
切ない	ja	-1.0
折ら	ja	-1.0
舌	ja	-1.0
争う	ja	-1.0
遭う	ja	-1.0
憎い	ja	-1.0
憎たらしい	ja	-1.0
損	ja	-1.0
損なう	ja	-1.0
損ねる	ja	-1.0
太る	ja	-1.0
堕ちる	ja	-1.0
妥協	ja	-1.0
耐え	ja	-1.0
耐えがたい	ja	-1.0
怠る	ja	-1.0
退かさ	ja	-1.0
嘆く	ja	-1.0
歎	ja	-1.0
断た	ja	-1.0
恥ずかしい	ja	-1.0
遅れ	ja	-1.0
遅れる	ja	-1.0
虫	ja	-1.0
懲りる	ja	-1.0
懲り懲り	ja	-1.0
懲り懲り	ja	-1.0
懲り懲り	ja	-1.0
懲り懲り	ja	-1.0
頂け	ja	-1.0
墜ちる	ja	-1.0
痛い	ja	-1.0
痛む	ja	-1.0
痛める	ja	-1.0
潰れる	ja	-1.0
諦める	ja	-1.0
溺れる	ja	-1.0
転ぶ	ja	-1.0
吐き出す	ja	-1.0
妬む	ja	-1.0
途方	ja	-1.0
怒る	ja	-1.0
倒れる	ja	-1.0
凍える	ja	-1.0
悼む	ja	-1.0
盗ま	ja	-1.0
盗む	ja	-1.0
当たら	ja	-1.0
当て	ja	-1.0
頭	ja	-1.0
頭	ja	-1.0
頭	ja	-1.0
頭	ja	-1.0
頭	ja	-1.0
頭	ja	-1.0
曇る	ja	-1.0
悩む	ja	-1.0
馬鹿	ja	-1.0
廃れる	ja	-1.0
敗ける	ja	-1.0
敗れる	ja	-1.0
背く	ja	-1.0
曝す	ja	-1.0
抜か	ja	-1.0
叛	ja	-1.0
犯す	ja	-1.0
悲しむ	ja	-1.0
疲れ	ja	-1.0
疲れる	ja	-1.0
被る	ja	-1.0
謬	ja	-1.0
貧する	ja	-1.0
不満	ja	-1.0
不満	ja	-1.0
怖	ja	-1.0
怖じ	ja	-1.0
怖気付く	ja	-1.0
腐る	ja	-1.0
負う	ja	-1.0
負ける	ja	-1.0
侮る	ja	-1.0
腹の虫	ja	-1.0
腹の虫	ja	-1.0
腹立たしい	ja	-1.0
腹立つ	ja	-1.0
文句	ja	-1.0
文句	ja	-1.0
聞こえる	ja	-1.0
閉まる	ja	-1.0
別れる	ja	-1.0
偏る	ja	-1.0
呆れる	ja	-1.0
崩さ	ja	-1.0
崩す	ja	-1.0
崩れる	ja	-1.0
飽きる	ja	-1.0
亡くす	ja	-1.0
亡くする	ja	-1.0
亡びる	ja	-1.0
妨げる	ja	-1.0
忘れる	ja	-1.0
冒す	ja	-1.0
膨れる	ja	-1.0
謀る	ja	-1.0
無くす	ja	-1.0
迷う	ja	-1.0
滅びる	ja	-1.0
面目	ja	-1.0
面目	ja	-1.0
面目次第	ja	-1.0
蒙る	ja	-1.0
目	ja	-1.0
薬	ja	-1.0
落ち込む	ja	-1.0
落とさ	ja	-1.0
落とし	ja	-1.0
乱れる	ja	-1.0
理性	ja	-1.0
裂ける	ja	-1.0
路頭	ja	-1.0
漏らす	ja	-1.0
漏れる	ja	-1.0
老いる	ja	-1.0
歪む	ja	-1.0
詫びる	ja	-1.0
咎める	ja	-1.0
咬ま	ja	-1.0
毀す	ja	-1.0
毀れる	ja	-1.0
憑	ja	-1.0
罹る	ja	-1.0
挾ま	ja	-1.0
涸れる	ja	-1.0
疵付ける	ja	-1.0
縺れる	ja	-1.0
茫然	ja	-1.0
茫然	ja	-1.0
茫然	ja	-1.0
茫然	ja	-1.0
茫漠	ja	-1.0
躊躇う	ja	-1.0
躓く	ja	-1.0
轢く	ja	-1.0
騙す	ja	-1.0
あいた	ja	-1.0
あきれる	ja	-1.0
あく	ja	-1.0
あくどい	ja	-1.0
あざとい	ja	-1.0
あと	ja	-1.0
あと	ja	-1.0
あと	ja	-1.0
あと	ja	-1.0
あばずれ	ja	-1.0
あばずれ	ja	-1.0
あばずれ	ja	-1.0
あばずれ	ja	-1.0
あほらしい	ja	-1.0
あやしい	ja	-1.0
あやふや	ja	-1.0
あやふや	ja	-1.0
あらい	ja	-1.0
あらっぽい	ja	-1.0
あり	ja	-1.0
あり	ja	-1.0
ありふれる	ja	-1.0
ありふれる	ja	-1.0
ある	ja	-1.0
ある	ja	-1.0
あわせ	ja	-1.0
あんぽんたん	ja	-1.0
あんぽんたん	ja	-1.0
あんぽんたん	ja	-1.0
あんぽんたん	ja	-1.0
い	ja	-1.0
いかがわしい	ja	-1.0
いかつい	ja	-1.0
いぎたない	ja	-1.0
いけ好かない	ja	-1.0
いけ図々しい	ja	-1.0
いこじ	ja	-1.0
いこじ	ja	-1.0
いじいじ	ja	-1.0
いじける	ja	-1.0
いじましい	ja	-1.0
いぶかしい	ja	-1.0
いまいち	ja	-1.0
いまいましい	ja	-1.0
いまひとつ	ja	-1.0
いまわしい	ja	-1.0
いま一つ	ja	-1.0
いやがる	ja	-1.0
いやしい	ja	-1.0
いやらしい	ja	-1.0
いろあせる	ja	-1.0
いわく	ja	-1.0
いんちき	ja	-1.0
うじうじ	ja	-1.0
うす汚い	ja	-1.0
うとい	ja	-1.0
うど	ja	-1.0
うど	ja	-1.0
うど	ja	-1.0
うど	ja	-1.0
うらめしい	ja	-1.0
うら寂しい	ja	-1.0
うら悲しい	ja	-1.0
えげつない	ja	-1.0
おこがましい	ja	-1.0
おしい	ja	-1.0
おせっかい	ja	-1.0
おせっかい	ja	-1.0
おせっかい	ja	-1.0
おせっかい	ja	-1.0
おそい	ja	-1.0
おそまつ	ja	-1.0
おそまつ	ja	-1.0
おぞましい	ja	-1.0
おためごかし	ja	-1.0
おためごかし	ja	-1.0
おたんこなす	ja	-1.0
おたんこなす	ja	-1.0
おたんこなす	ja	-1.0
おたんこなす	ja	-1.0
おっかない	ja	-1.0
おっくう	ja	-1.0
おっくう	ja	-1.0
おっくう	ja	-1.0
おっくう	ja	-1.0
おっさん	ja	-1.0
おっちょこちょい	ja	-1.0
おっちょこちょい	ja	-1.0
おばさん	ja	-1.0
おびやかす	ja	-1.0
おもはゆい	ja	-1.0
おんぼろ	ja	-1.0
おんぼろ	ja	-1.0
おんぼろ	ja	-1.0
おんぼろ	ja	-1.0
お山	ja	-1.0
お山	ja	-1.0
お山	ja	-1.0
お山	ja	-1.0
お節介	ja	-1.0
お節介	ja	-1.0
お節介	ja	-1.0
お節介	ja	-1.0
お粗末	ja	-1.0
お粗末	ja	-1.0
お粗末	ja	-1.0
お粗末	ja	-1.0
かっこ	ja	-1.0
かったるい	ja	-1.0
かみ合う	ja	-1.0
かわいい	ja	-1.0
かん高い	ja	-1.0
がさつ	ja	-1.0
がさつ	ja	-1.0
がっかり	ja	-1.0
がつがつ	ja	-1.0
がめつい	ja	-1.0
ききにくい	ja	-1.0
きちきち	ja	-1.0
きつい	ja	-1.0
きびしい	ja	-1.0
きゅうきゅう	ja	-1.0
ぎくしゃく	ja	-1.0
ぎこちない	ja	-1.0
ぎごち	ja	-1.0
ぎすぎす	ja	-1.0
ぎちぎち	ja	-1.0
ぎゅうぎゅう	ja	-1.0
ぎょうぎょうしい	ja	-1.0
ぎょっと	ja	-1.0
くしゃくしゃ	ja	-1.0
くそ	ja	-1.0
くそ	ja	-1.0
くだらない	ja	-1.0
くどい	ja	-1.0
ぐしゃぐしゃ	ja	-1.0
ぐしょぐしょ	ja	-1.0
ぐしょぐしょ	ja	-1.0
ぐじゃぐじゃ	ja	-1.0
ぐじゃぐじゃ	ja	-1.0
ぐずぐず	ja	-1.0
ぐずる	ja	-1.0
ぐにゃぐにゃ	ja	-1.0
ぐにゃぐにゃ	ja	-1.0
ぐにゃぐにゃ	ja	-1.0
ぐらぐら	ja	-1.0
ぐらつく	ja	-1.0
けがらわしい	ja	-1.0
けしからん	ja	-1.0
けしからん	ja	-1.0
けしからん	ja	-1.0
けしからん	ja	-1.0
けちけち	ja	-1.0
けちけち	ja	-1.0
けちん坊	ja	-1.0
けちん坊	ja	-1.0
けちん坊	ja	-1.0
けちん坊	ja	-1.0
けばけば	ja	-1.0
けばけばしい	ja	-1.0
けわしい	ja	-1.0
けんのん	ja	-1.0
けんのん	ja	-1.0
げっそり	ja	-1.0
こしゃく	ja	-1.0
こしゃく	ja	-1.0
こすい	ja	-1.0
こせこせ	ja	-1.0
こっぴどい	ja	-1.0
こっ酷い	ja	-1.0
こてんこてん	ja	-1.0
こてんこてん	ja	-1.0
ごしゃごしゃ	ja	-1.0
ごちゃごちゃ	ja	-1.0
ごっちゃ	ja	-1.0
ごっちゃ	ja	-1.0
ごてごて	ja	-1.0
ごみごみ	ja	-1.0
ご法度	ja	-1.0
ご法度	ja	-1.0
ご法度	ja	-1.0
ご法度	ja	-1.0
さもしい	ja	-1.0
しかた	ja	-1.0
しかつめらしい	ja	-1.0
しつこい	ja	-1.0
しどろ	ja	-1.0
しどろ	ja	-1.0
しどろもどろ	ja	-1.0
しどろもどろ	ja	-1.0
しみったれる	ja	-1.0
しょうが	ja	-1.0
しょぼい	ja	-1.0
しょぼしょぼ	ja	-1.0
しらじらしい	ja	-1.0
しわくちゃ	ja	-1.0
しわくちゃ	ja	-1.0
しわくちゃ	ja	-1.0
しわくちゃ	ja	-1.0
しわしわ	ja	-1.0
しんどい	ja	-1.0
しんねり	ja	-1.0
じじむさい	ja	-1.0
じゃじゃ馬	ja	-1.0
じゃじゃ馬	ja	-1.0
じゃじゃ馬	ja	-1.0
じゃじゃ馬	ja	-1.0
じゃじゃ馬	ja	-1.0
じゃじゃ馬	ja	-1.0
じゃま	ja	-1.0
じれったい	ja	-1.0
すかたん	ja	-1.0
すかたん	ja	-1.0
すかたん	ja	-1.0
すかたん	ja	-1.0
すげない	ja	-1.0
すじ	ja	-1.0
すたれる	ja	-1.0
ずうずうしい	ja	-1.0
ずるい	ja	-1.0
ずれる	ja	-1.0
ずんべらぼう	ja	-1.0
ずんべらぼう	ja	-1.0
ずんべらぼう	ja	-1.0
ずんべらぼう	ja	-1.0
せこい	ja	-1.0
せせこましい	ja	-1.0
せっかち	ja	-1.0
せっかち	ja	-1.0
せわしい	ja	-1.0
せわしない	ja	-1.0
そぐわない	ja	-1.0
そそっかしい	ja	-1.0
そっけ	ja	-1.0
そらぞらしい	ja	-1.0
ぞっと	ja	-1.0
ぞんざい	ja	-1.0
ぞんざい	ja	-1.0
たけだけしい	ja	-1.0
たじたじ	ja	-1.0
たどたどしい	ja	-1.0
たより	ja	-1.0
だ	ja	-1.0
だぶつく	ja	-1.0
だらし	ja	-1.0
だらし	ja	-1.0
だらし	ja	-1.0
だるい	ja	-1.0
ちぐはぐ	ja	-1.0
ちぐはぐ	ja	-1.0
ちっぽけ	ja	-1.0
ちっぽけ	ja	-1.0
ちび	ja	-1.0
ちび	ja	-1.0
ちまちま	ja	-1.0
ちゃち	ja	-1.0
ちゃち	ja	-1.0
ちゃち	ja	-1.0
ちゃち	ja	-1.0
ちゃち	ja	-1.0
ちゃらっぽこ	ja	-1.0
ちゃらっぽこ	ja	-1.0
ちゃらっぽこ	ja	-1.0
ちゃらっぽこ	ja	-1.0
ちんちくりん	ja	-1.0
ちんちくりん	ja	-1.0
ちんちくりん	ja	-1.0
ちんちくりん	ja	-1.0
ちんまり	ja	-1.0
つかむ	ja	-1.0
つたない	ja	-1.0
つぶれる	ja	-1.0
つまらない	ja	-1.0
つまる	ja	-1.0
つれない	ja	-1.0
つんつるてん	ja	-1.0
つんつるてん	ja	-1.0
つんつるてん	ja	-1.0
つんつるてん	ja	-1.0
できる	ja	-1.0
でくの坊	ja	-1.0
でくの坊	ja	-1.0
でくの坊	ja	-1.0
でくの坊	ja	-1.0
でしゃばる	ja	-1.0
とげ	ja	-1.0
とげとげしい	ja	-1.0
とっつく	ja	-1.0
とぼける	ja	-1.0
とらえる	ja	-1.0
とりとめる	ja	-1.0
とろい	ja	-1.0
とんがる	ja	-1.0
とんちんかん	ja	-1.0
とんちんかん	ja	-1.0
とんちんかん	ja	-1.0
とんちんかん	ja	-1.0
とんでも	ja	-1.0
とんま	ja	-1.0
とんま	ja	-1.0
とんま	ja	-1.0
とんま	ja	-1.0
ど	ja	-1.0
ど	ja	-1.0
ど	ja	-1.0
ど	ja	-1.0
ど	ja	-1.0
ど	ja	-1.0
どぎつい	ja	-1.0
どけ	ja	-1.0
どけ	ja	-1.0
どじ	ja	-1.0
どじ	ja	-1.0
どじ	ja	-1.0
どじ	ja	-1.0
どじ	ja	-1.0
どじ	ja	-1.0
どす黒い	ja	-1.0
どっち	ja	-1.0
どっち	ja	-1.0
どん	ja	-1.0
なおざり	ja	-1.0
なおざり	ja	-1.0
なごりおしい	ja	-1.0
なじむ	ja	-1.0
なじむ	ja	-1.0
なまぬるい	ja	-1.0
なよなよ	ja	-1.0
なれなれしい	ja	-1.0
にちゃにちゃ	ja	-1.0
にぶい	ja	-1.0
にべ	ja	-1.0
にべ	ja	-1.0
ねたましい	ja	-1.0
ねちねち	ja	-1.0
のらりくらり	ja	-1.0
のれん	ja	-1.0
のれん	ja	-1.0
のれん	ja	-1.0
のれん	ja	-1.0
のろい	ja	-1.0
のろくさい	ja	-1.0
のろのろ	ja	-1.0
のろま	ja	-1.0
のろま	ja	-1.0
のろま	ja	-1.0
のろま	ja	-1.0
はかばかしい	ja	-1.0
はしたない	ja	-1.0
はずれ	ja	-1.0
はずれ	ja	-1.0
はずれ	ja	-1.0
はずれ	ja	-1.0
はで	ja	-1.0
はで	ja	-1.0
はで	ja	-1.0
はで	ja	-1.0
はで	ja	-1.0
はで	ja	-1.0
ばか	ja	-1.0
ばか	ja	-1.0
ばか	ja	-1.0
ばか	ja	-1.0
ばかくさい	ja	-1.0
ばっちい	ja	-1.0
ばらつき	ja	-1.0
ひやひや	ja	-1.0
ひょろひょろ	ja	-1.0
ひ弱い	ja	-1.0
びしょびしょ	ja	-1.0
びしょびしょ	ja	-1.0
ふがいない	ja	-1.0
ふた	ja	-1.0
ふつつか	ja	-1.0
ふつつか	ja	-1.0
ふてぶてしい	ja	-1.0
ふにゃふにゃ	ja	-1.0
ふにゃふにゃ	ja	-1.0
ふにゃふにゃ	ja	-1.0
ふらふら	ja	-1.0
ふんぞり返る	ja	-1.0
ぶよぶよ	ja	-1.0
へ	ja	-1.0
へ	ja	-1.0
へ	ja	-1.0
へ	ja	-1.0
へいこら	ja	-1.0
へそ曲がり	ja	-1.0
へそ曲がり	ja	-1.0
へそ曲がり	ja	-1.0
へそ曲がり	ja	-1.0
へたくそ	ja	-1.0
へたくそ	ja	-1.0
へとへと	ja	-1.0
へとへと	ja	-1.0
へなへな	ja	-1.0
べとつく	ja	-1.0
べとべと	ja	-1.0
ぺしゃんこ	ja	-1.0
ぺしゃんこ	ja	-1.0
ぺしゃんこ	ja	-1.0
ぺしゃんこ	ja	-1.0
ぺてん師	ja	-1.0
ぺてん師	ja	-1.0
ぺてん師	ja	-1.0
ぺてん師	ja	-1.0
ほど遠い	ja	-1.0
ぼさっと	ja	-1.0
ぼやける	ja	-1.0
ぼやぼや	ja	-1.0
ぼろい	ja	-1.0
ぼろぼろ	ja	-1.0
ぼろぼろ	ja	-1.0
ぼんくら	ja	-1.0
ぼんくら	ja	-1.0
ぼんくら	ja	-1.0
ぼんくら	ja	-1.0
ぼんやり	ja	-1.0
まがい物	ja	-1.0
まがい物	ja	-1.0
まがい物	ja	-1.0
まがい物	ja	-1.0
まがい物	ja	-1.0
まがい物	ja	-1.0
まがまがしい	ja	-1.0
まごまご	ja	-1.0
まだるっこい	ja	-1.0
ままならない	ja	-1.0
み	ja	-1.0
みすぼらしい	ja	-1.0
みっともない	ja	-1.0
みにくい	ja	-1.0
みみっちい	ja	-1.0
むかむか	ja	-1.0
むごい	ja	-1.0
むごたらしい	ja	-1.0
むさい	ja	-1.0
むさくるしい	ja	-1.0
むっと	ja	-1.0
むなぐるしい	ja	-1.0
むなしい	ja	-1.0
めそめそ	ja	-1.0
めちゃくちゃ	ja	-1.0
めちゃくちゃ	ja	-1.0
めちゃめちゃ	ja	-1.0
めちゃめちゃ	ja	-1.0
めんどう	ja	-1.0
めんどうくさい	ja	-1.0
めんどくさい	ja	-1.0
もう	ja	-1.0
もたつき	ja	-1.0
もっさり	ja	-1.0
もったいない	ja	-1.0
もってのほか	ja	-1.0
もってのほか	ja	-1.0
もってのほか	ja	-1.0
もってのほか	ja	-1.0
もどかしい	ja	-1.0
ものうい	ja	-1.0
ものすさまじい	ja	-1.0
ものたりない	ja	-1.0
もの狂おしい	ja	-1.0
もの凄まじい	ja	-1.0
もの悲しい	ja	-1.0
やかましい	ja	-1.0
やきもき	ja	-1.0
やっかい	ja	-1.0
やっかい	ja	-1.0
やにっこい	ja	-1.0
やばい	ja	-1.0
やぶさか	ja	-1.0
やぶさか	ja	-1.0
やぼ	ja	-1.0
やぼ	ja	-1.0
やぼったい	ja	-1.0
やましい	ja	-1.0
ややこしい	ja	-1.0
やりきれない	ja	-1.0
やり切れない	ja	-1.0
やるせない	ja	-1.0
やわ	ja	-1.0
やわ	ja	-1.0
やわい	ja	-1.0
ゆゆしい	ja	-1.0
ゆるい	ja	-1.0
よけい	ja	-1.0
よけい	ja	-1.0
よけい	ja	-1.0
よけい	ja	-1.0
よそよそしい	ja	-1.0
よれよれ	ja	-1.0
よれよれ	ja	-1.0
よれる	ja	-1.0
よわい	ja	-1.0
よんどころない	ja	-1.0
らち	ja	-1.0
ろくでなし	ja	-1.0
ろくでなし	ja	-1.0
ろくでなし	ja	-1.0
ろくでなし	ja	-1.0
わいせつ	ja	-1.0
わいせつ	ja	-1.0
わいせつ	ja	-1.0
わいせつ	ja	-1.0
わかる	ja	-1.0
わざとらしい	ja	-1.0
わずらわしい	ja	-1.0
わびしい	ja	-1.0
わや	ja	-1.0
わや	ja	-1.0
わやく	ja	-1.0
わやく	ja	-1.0
アウト	ja	-1.0
アウト	ja	-1.0
アウト	ja	-1.0
アウト	ja	-1.0
アホ	ja	-1.0
アホ	ja	-1.0
アホ	ja	-1.0
アホ	ja	-1.0
アン	ja	-1.0
アン	ja	-1.0
アン	ja	-1.0
アン	ja	-1.0
イカ	ja	-1.0
イマイチ	ja	-1.0
イマイチ	ja	-1.0
イマイチ	ja	-1.0
イマイチ	ja	-1.0
イレギュラ	ja	-1.0
イレギュラー	ja	-1.0
インチキ	ja	-1.0
インチキ	ja	-1.0
インチキ	ja	-1.0
インチキ	ja	-1.0
インパクト	ja	-1.0
ウド	ja	-1.0
ウド	ja	-1.0
ウド	ja	-1.0
ウド	ja	-1.0
エキセントリック	ja	-1.0
エキセントリック	ja	-1.0
エゴイスト	ja	-1.0
エゴイスト	ja	-1.0
エゴイスト	ja	-1.0
エゴイスト	ja	-1.0
エッチ	ja	-1.0
オーソドックス	ja	-1.0
オマケ	ja	-1.0
オモチャ	ja	-1.0
オヤジ	ja	-1.0
オリジナリティ	ja	-1.0
カッコ	ja	-1.0
ガキ	ja	-1.0
ガタ落ち	ja	-1.0
ガチガチ	ja	-1.0
ガチガチ	ja	-1.0
キズ	ja	-1.0
キツイ	ja	-1.0
キリ	ja	-1.0
ギクシャク	ja	-1.0
ギュウギュウ	ja	-1.0
ギュウギュウ	ja	-1.0
クセ	ja	-1.0
クセ	ja	-1.0
グルーミー	ja	-1.0
グロ	ja	-1.0
グロ	ja	-1.0
グロ	ja	-1.0
グロ	ja	-1.0
グロッキー	ja	-1.0
グロッキー	ja	-1.0
グロッキー	ja	-1.0
グロッキー	ja	-1.0
グロテスク	ja	-1.0
グロテスク	ja	-1.0
コワい	ja	-1.0
ショッキング	ja	-1.0
ショッキング	ja	-1.0
ショック	ja	-1.0
ショボ	ja	-1.0
シリアス	ja	-1.0
シリアス	ja	-1.0
ジャジャ馬	ja	-1.0
ジャジャ馬	ja	-1.0
ジャジャ馬	ja	-1.0
ジャジャ馬	ja	-1.0
ズレる	ja	-1.0
センス	ja	-1.0
ダーティ	ja	-1.0
ダーティー	ja	-1.0
ダサい	ja	-1.0
チグハグ	ja	-1.0
チグハグ	ja	-1.0
チャチ	ja	-1.0
チャラチャラ	ja	-1.0
ディプレッション	ja	-1.0
デカ	ja	-1.0
デプレッション	ja	-1.0
ノイジー	ja	-1.0
ノンセンス	ja	-1.0
ノンセンス	ja	-1.0
ノンセンス	ja	-1.0
ノンセンス	ja	-1.0
バタくさい	ja	-1.0
バタ臭い	ja	-1.0
バラツキ	ja	-1.0
パワー	ja	-1.0
ヒステリック	ja	-1.0
ヒステリック	ja	-1.0
ヒヤヒヤ	ja	-1.0
ビビる	ja	-1.0
ヘン	ja	-1.0
ヘン	ja	-1.0
ミーハー	ja	-1.0
ミーハー	ja	-1.0
ミス	ja	-1.0
メチャメチャ	ja	-1.0
メチャメチャ	ja	-1.0
メランコリック	ja	-1.0
メリハリ	ja	-1.0
ヤワ	ja	-1.0
ヤワ	ja	-1.0
ヨレヨレ	ja	-1.0
ヨレヨレ	ja	-1.0
ヨレヨレ	ja	-1.0
ヨレヨレ	ja	-1.0
ワーストワン	ja	-1.0
